© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Regulation of eIF4 and p70S6K Signaling	4.07E00	9.04E-02	-1.414	AGO2,EIF2B1,EIF4A3,EIF4G2,IRS1,ITGA2,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,MAPK1,PIK3CB,PPM1L,PPP2R2D,PPP2R5A,RAF1	
Mitochondrial Dysfunction	4.06E00	7.25E-02	0.626	APP,ATF4,ATPAF1,CALM3,CAPN1,CAPN2,CAPNS1,CASP3,CYB5R3,GPD2,GPX1,HTT,ITPR1,ITPR2,MAP3K5,MFN2,MYH9,PIK3CB,PPIF,PRDX6,PRKAB2,PRKAR1B,PRKAR2B,UCP2,UQCRC1	
NIK-->noncanonical NF-kB signaling	4.04E00	1.5E-01	2.333	FBXW11,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2	
Neddylation	4.03E00	8.13E-02	0.447	ANKRD9,BTBD1,BTBD6,CDKN1A,CISH,COMMD9,DPP3,FBXL20,FBXW11,FBXW5,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2,PUM2,ZBTB16	
Melatonin Signaling	4.03E00	1.35E-01	-2.646	BRAF,CALM3,GNAO1,GNAQ,MAPK1,PRKAR1B,PRKAR2B,PRKCA,PRKCB,RAF1	
Pulmonary Fibrosis Idiopathic Signaling Pathway	4.03E00	7.36E-02	-3.710	ACTB,ACTG1,ADAM10,BRAF,COL6A3,F2R,FGF2,GNA13,GSK3B,ILK,ITGA2,ITGB1,JARID2,LATS2,MAPK1,PDGFA,PIK3CB,RAF1,ROCK2,SERPINE1,SMAD2,STK38,TGFB1,THBS1	
IL-10 Signaling	3.99E00	9.68E-02	-0.832	ATF4,BHLHE40,CDKN1A,CDKN2D,GSK3B,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,JAK1,MAPK1,PBX1,PKM,PRKAB2	
Renin-Angiotensin Signaling	3.96E00	1.07E-01	-3.162	ADCY3,GNAQ,GUCY1A1,GUCY1B1,ITPR1,ITPR2,MAPK1,PIK3CB,PRKAR1B,PRKAR2B,PRKCA,PRKCB,RAF1	
Cellular response to hypoxia	3.93E00	1.32E-01	1.897	EGLN3,LIMD1,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2	
Interferon alpha/beta signaling	3.93E00	1.32E-01	-1.265	HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-H,IFI35,ISG15,ISG20,JAK1	
Miscellaneous transport and binding events	3.92E00	2.31E-01	-2.449	CTNS,DMTN,LRRC8B,MRS2,NIPA1,NIPAL3	
Actin Nucleation by ARP-WASP Complex	3.92E00	1.21E-01	-2.000	ARPC1B,ITGA2,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,NCK2,RHOBTB1,ROCK2,WIPF1	
RHOA Signaling	3.92E00	1.06E-01	-2.496	ACTB,ACTG1,ARHGAP5,ARHGEF12,ARPC1B,GNA13,IGF1R,LPAR5,MYL9,MYLK,PI4KA,PIP5K1C,ROCK2	
RHO GTPases Activate Formins	3.91E00	1E-01	-3.207	ACTB,ACTG1,CENPT,CLIP1,DIAPH1,DYNLL2,ITGB1,PPP2R5A,SEC13,SRC,TUBA1C,TUBA4A,TUBA8,TUBB1	
Neurovascular Coupling Signaling Pathway	3.9E00	8.19E-02	-2.357	APP,CALM3,GNAQ,GUCY1A1,GUCY1B1,ITPR1,ITPR2,ORAI2,P2RX1,P2RY1,PLA2G12A,PRDX6,PRKAR1B,PRKAR2B,PTGIR,PTGS1,ROCK2,STIM1,TBXA2R	
p75 NTR receptor-mediated signalling	3.9E00	9.49E-02	-3.357	ARHGDIA,ARHGEF12,CASP2,CASP3,GNA13,KALRN,NEK4,PI4KA,PIK3CB,SPHK1,STK24,STK38,STK4,STK40,VAV3	
Epithelial Adherens Junction Signaling	3.9E00	9.49E-02	-1.069	ARPC1B,DIAPH1,EGF,FYN,IGF1R,LATS2,PPM1L,PPP2R2D,PPP2R5A,PRKAB2,ROCK2,SRC,STK4,VCL,YWHAH	
Telomerase Signaling	3.87E00	1.11E-01	-0.707	CDKN1A,EGF,ELK3,HDAC5,HSP90B1,MAPK1,PIK3CB,PPM1L,PPP2R2D,PPP2R5A,RAF1,TPP1	
Microautophagy Signaling Pathway	3.87E00	9.43E-02	1.941	CHMP2A,CHMP6,COL6A3,PRKAB2,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2,SEC13,VAMP8,VPS37B	
Asparagine N-linked glycosylation	3.85E00	1.04E-01	-3.606	AMFR,B4GALT1,B4GALT6,DERL1,MAN1A1,MAN2A1,MAN2A2,MGAT4B,MGAT5,MLEC,ST6GAL1,TRIM13,UGGT1	
Effects of PIP2 hydrolysis	3.83E00	2.22E-01	-2.449	DGKD,DGKG,ITPR1,ITPR2,MGLL,TRPC6	
Semaphorin interactions	3.81E00	1.41E-01	-3.000	ARHGEF12,FYN,GSK3B,ITGB1,MYH9,MYL9,PIP5K1C,ROCK2,TLN1	
TCR signaling	3.81E00	1.03E-01	0.832	FBXW11,GRAP2,PIK3CB,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2,PTPRJ,TAB2	
Tumor Microenvironment Pathway	3.78E00	8.89E-02	-2.138	BRAF,EGF,FGF2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,ITGB3,LEPR,MAPK1,PDGFA,PIK3CB,RAF1,SLC2A3,TGFB1	
ATF6 (ATF6-alpha) activates chaperone genes	3.78E00	4E-01	1.000	ATF4,HSP90B1,HSPA5,XBP1	
Tight Junction Signaling	3.75E00	8.84E-02	NaN	ACTB,ACTG1,CLDN5,F11R,MYH9,MYL9,MYLK,PPM1L,PPP2R2D,PPP2R5A,PRKAR1B,PRKAR2B,STX1A,TGFB1,VCL,YKT6	
Glycerophospholipid biosynthesis	3.74E00	1.02E-01	-3.051	ABHD4,AGPAT1,CDS2,GPD2,LIPH,LPIN1,MGLL,MIGA2,OSBPL5,PITPNM2,PLA2G12A,PLD3,SLC44A2	
Amyloid Processing	3.73E00	1.54E-01	-2.449	APP,CAPN1,CAPN2,CAPNS1,GSK3B,MAPK1,PRKAR1B,PRKAR2B	
Oxytocin in Brain Signaling Pathway	3.72E00	8.46E-02	-3.500	ATF4,CALM3,GNAO1,GNAQ,GNB5,ITPR1,ITPR2,MAPK1,MEF2C,OXTR,PIK3CB,PLA2G12A,PRDX6,PRKCA,PRKCB,PTGS1,RAF1	
Regulation of Apoptosis	3.67E00	1.51E-01	2.828	PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2	
Crosstalk between Dendritic Cells and Natural Killer Cells	3.63E00	1.12E-01	NaN	ACTB,ACTG1,CD28,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,TLN1,TLN2,TNFSF10	
CREB Signaling in Neurons	3.62E00	5.84E-02	-5.099	ADCY3,ADGRE1,ATF4,BMP6,CALM3,CCR4,EGF,F2R,F2RL3,FGF2,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GPR137,GUCY1A1,GUCY1B1,IGF1R,ITPR1,ITPR2,LPAR5,MAPK1,OXTR,P2RY1,PIK3CB,POLR2E,PRKAR1B,PRKAR2B,PRKCA,PRKCB,PTGIR,RAF1,TBXA2R,TGFB1	
14-3-3-mediated Signaling	3.61E00	9.85E-02	-2.121	GSK3B,MAP3K5,MAPK1,PIK3CB,PRKCA,PRKCB,RAF1,SRC,TUBA1C,TUBA4A,TUBA8,TUBB1,YWHAH	
Signaling by TGF-beta Receptor Complex	3.61E00	1.48E-01	-2.828	F11R,FURIN,ITGB1,ITGB3,ITGB5,LTBP1,SMAD2,TGFB1	
Melanocyte Development and Pigmentation Signaling	3.59E00	1.11E-01	-2.828	ADCY3,ATF4,GNAS,GUCY1A1,GUCY1B1,MAPK1,PIK3CB,PRKAR1B,PRKAR2B,RAF1,SRC	
Fc epsilon receptor (FCERI) signaling	3.59E00	8.25E-02	-2.449	FBXW11,FYN,GRAP2,ITPR1,ITPR2,MAPK1,PIK3CB,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2,TAB2,VAV3	
Somitogenesis	3.55E00	1.45E-01	2.828	PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2	
Sertoli Cell-Sertoli Cell Junction Signaling	3.55E00	7.69E-02	-4.243	ACTB,ACTG1,ACTN1,ATF4,CLDN5,F11R,ITGA2,ITGA6,ITGB1,MAP3K5,MAPK1,PIK3CB,RAF1,SRC,TUBA1C,TUBA4A,TUBA8,TUBB1,VCL	
Cholecystokinin/Gastrin-mediated Signaling	3.54E00	1.03E-01	-3.317	GNA13,GNAQ,ITPR1,ITPR2,MAPK1,MEF2C,PRKCA,PRKCB,RAF1,RHOBTB1,ROCK2,SRC	
Transcriptional regulation by RUNX1	3.54E00	9.21E-02	0.535	ARID1B,CLDN5,GATA2,HIPK2,PRKCB,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2,TAL1	
HIF1α Signaling	3.49E00	8.1E-02	-3.153	BMP6,BRAF,CDKN1A,EGF,EGLN3,FGF2,HSPA5,LDHA,MAPK1,PIK3CB,PKM,PRKCA,PRKCB,RAF1,SERPINE1,SLC2A3,TGFB1	
FGF Signaling	3.48E00	1.16E-01	-3.162	ATF4,CRKL,FGF2,ITPR1,MAP3K5,MAPK1,MAPKAPK2,PIK3CB,PRKCA,RAF1	
Sphingosine-1-phosphate Signaling	3.47E00	1.01E-01	-1.414	ADCY3,CASP2,CASP3,GNA13,GNAQ,GUCY1A1,GUCY1B1,MAPK1,PDGFA,PIK3CB,RHOBTB1,SPHK1	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	3.47E00	1.01E-01	-3.000	ADCY3,GNAQ,GNAS,GUCY1A1,GUCY1B1,ITPR1,ITPR2,LPAR5,PRKAR1B,PRKAR2B,PRKCA,PRKCB	
Gustation Pathway	3.47E00	8.06E-02	-3.464	ADCY3,CD36,GUCY1A1,GUCY1B1,ITPR1,ITPR2,LIPA,LIPH,LRRC8B,ORAI1,ORAI2,P2RX1,P2RY1,PANX1,PRKAR1B,PRKAR2B,STIM1	
ABC-family proteins mediated transport	3.44E00	1.07E-01	1.508	ABCC3,ABCC4,DERL1,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2	
Breast Cancer Regulation by Stathmin1	3.44E00	5.78E-02	-3.772	ADGRE1,ARHGEF12,ATF4,BMP6,CCND3,CCR4,EGF,F2R,F2RL3,FGF2,GNA13,GNAQ,GNB5,GPR137,LPAR5,MAPK1,OXTR,P2RY1,PIK3CB,PPM1L,PPP1R14A,PPP2R5A,PRKAR1B,PRKAR2B,PRKCA,PRKCB,PTGIR,RAF1,TBXA2R,TGFB1,TUBA1C,TUBA4A,TUBA8,TUBB1,UHMK1	
PDGF Signaling	3.44E00	1.15E-01	-3.162	CRKL,JAK1,MAPK1,PDGFA,PIK3CB,PRKCA,PRKCB,RAF1,SPHK1,SRC	
Reelin Signaling in Neurons	3.42E00	9.42E-02	-3.051	APP,ARHGEF12,ARPC1B,CRKL,FYN,GSK3B,ITGB1,MAPK1,MAPK8IP3,PDK2,PIK3CB,SRC,YES1	
Dopamine Receptor Signaling	3.42E00	1.25E-01	NaN	ADCY3,GUCY1A1,GUCY1B1,PPM1L,PPP2R2D,PPP2R5A,PRKAR1B,PRKAR2B,SMOX	
Elastic fibre formation	3.42E00	1.59E-01	-2.646	FURIN,ITGB1,ITGB3,ITGB5,LOXL3,LTBP1,TGFB1	
Cell surface interactions at the vascular wall	3.4E00	7.94E-02	-4.123	CD47,CD84,DOK2,ESAM,F11R,FYN,GP6,ITGA2,ITGA6,ITGB1,ITGB3,PECAM1,PIK3CB,SELP,SRC,TGFB1,YES1	
Signaling by PDGF	3.39E00	1.38E-01	-2.828	COL6A3,CRKL,FURIN,NCK2,PDGFA,PIK3CB,SRC,THBS1	
Regulation of mRNA stability by proteins that bind AU-rich elements	3.36E00	1.12E-01	1.897	MAPKAPK2,PRKCA,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2	
S100 Family Signaling Pathway	3.34E00	5.37E-02	-3.795	ADAM10,ADGRE1,APP,ATF4,ATP2A2,BRAF,CALM3,CASP3,CCR4,CD36,CDKN1A,EGF,F2R,F2RL3,GPR137,GSK3B,ILK,IRAK2,ITPR1,ITPR2,JAK1,LPAR5,MAPK1,MYH9,OXTR,P2RY1,PIK3CB,PLA2G12A,PRKAR1B,PRKAR2B,PRKCA,PRKCB,PTGIR,RAF1,ROCK2,SMAD2,SRC,STK38,TBXA2R,TGFB1,TPM1,TPM4	
Polyamine Regulation in Colon Cancer	3.34E00	1.36E-01	-1.414	BRAF,GSK3B,MAPK1,OAZ1,ODC1,RAF1,SMOX,STIM1	
Apoptosis Signaling	3.34E00	1.04E-01	-0.905	BIRC6,CAPN1,CAPN2,CAPNS1,CASP2,CASP3,LMNA,MAP3K5,MAPK1,PRKCA,RAF1	
Signal amplification	3.32E00	1.82E-01	-2.449	GNA13,GNAQ,GNB5,P2RY1,SRC,TBXA2R	
Opioid Signalling	3.32E00	1.11E-01	-3.000	ADCY3,GNAQ,GNB5,ITPR1,ITPR2,MAPK1,PDE4D,PRKAR1B,PRKAR2B,PRKCA	
Adrenergic Receptor Signaling Pathway (Enhanced)	3.31E00	8.08E-02	-3.357	ADCY3,ATP6V0E1,GNAO1,GNAQ,GNAS,GUCY1A1,GUCY1B1,ITPR1,ITPR2,PRKAR1B,PRKAR2B,PRKCA,PRKCB,SMOX,TGFB1,TNFSF10	
Multiple Sclerosis Signaling Pathway	3.28E00	7.76E-02	-2.840	BRAF,CAPN1,CAPN2,CAPNS1,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,JARID2,MAPK1,MBP,MPO,SLC8A3,STK38,TGFB1,TNFSF10	
Degradation of beta-catenin by the destruction complex	3.28E00	1.1E-01	1.897	GSK3B,PPP2R5A,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2	
MSP-RON Signaling in Cancer Cells Pathway	3.27E00	9.09E-02	-2.496	ATF4,BRAF,ELK3,GSK3B,ITGA6,ITGB1,MAPK1,PIK3CB,RAF1,SMAD2,SRC,TRIM24,YWHAH	
GDNF Family Ligand-Receptor Interactions	3.24E00	1.18E-01	-2.449	DOK2,DOK6,IRS1,ITPR1,ITPR2,MAPK1,PDLIM7,PIK3CB,RAF1	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	3.24E00	1.18E-01	-1.633	ADCY3,GNAQ,GNAS,GUCY1A1,GUCY1B1,ITPR1,ITPR2,PRKAR1B,PRKAR2B	
Macropinocytosis Signaling	3.24E00	1.18E-01	-2.000	EGF,ITGB1,ITGB3,ITGB5,PDGFA,PIK3CB,PRKCA,PRKCB,SRC	
Cell junction organization	3.24E00	1.09E-01	-3.162	ACTB,ACTG1,ACTN1,CD151,CLDN5,F11R,ILK,ITGA6,ITGB1,PARVB	
PIP3 activates AKT signaling	3.22E00	8.97E-02	-3.606	CD28,CDKN1A,EGF,FGF2,FYN,GSK3B,IRS1,MAPK1,PDGFA,PIK3CB,PIP5K1C,PPP2R5A,SRC	
Factors involved in megakaryocyte development and platelet production	3.2E00	1.08E-01	-3.162	ACTB,DOCK5,EHD1,EHD3,GATA2,MFN2,PRKAR1B,PRKAR2B,SH2B3,WEE1	
HIPPO signaling	3.2E00	1.17E-01	0.000	DLG4,LATS2,PPM1L,PPP2R2D,PPP2R5A,SAV1,SMAD2,STK4,YWHAH	
MHC class II antigen presentation	3.18E00	9.38E-02	-2.887	AP2M1,ARF1,CTSA,DNM1,DNM3,DYNLL2,KIF3C,SEC13,TUBA1C,TUBA4A,TUBA8,TUBB1	
G alpha (z) signalling events	3.18E00	1.46E-01	-1.633	ADCY3,GNAS,GNAZ,GNB5,PRKCA,PRKCB,RGS19	
NF-κB Activation by Viruses	3.16E00	1.15E-01	-3.000	ITGA2,ITGA6,ITGB1,ITGB3,MAPK1,PIK3CB,PRKCA,PRKCB,RAF1	
Interleukin-1 family signaling	3.15E00	9.3E-02	1.155	FBXW11,IRAK2,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2,PTPN18,TAB2	
Apelin Muscle Signaling Pathway	3.13E00	1.43E-01	NaN	GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,PRKAB2	
PFKFB4 Signaling Pathway	3.13E00	1.43E-01	-2.449	ATF4,FGF2,GNAS,MAPK1,PRKAR1B,PRKAR2B,TGFB1	
Neuroprotective Role of THOP1 in Alzheimer's Disease	3.12E00	9.23E-02	1.000	APP,CTSG,FURIN,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,PRKAR1B,PRKAR2B,PRTN3,TPP1	
Non-Small Cell Lung Cancer Signaling	3.1E00	1.04E-01	-2.121	CCND3,EGF,HDAC5,ITPR1,ITPR2,MAPK1,PIK3CB,PRKCA,RAF1,STK4	
TR/RXR Activation	3.09E00	9.16E-02	-3.317	COL6A3,H3-3A,ITGB3,KLF9,MBP,NCOA2,NRGN,PFKP,PIK3CB,SRC,SREBF2,UCP2	
Signaling by ERBB2	3.07E00	1.4E-01	-2.646	DIAPH1,EGF,FYN,PRKCA,PTPN18,SRC,YES1	
nNOS Signaling in Neurons	3.07E00	1.4E-01	NaN	CALM3,CAPN1,CAPN2,CAPNS1,DLG4,PRKCA,PRKCB	
PD-1, PD-L1 cancer immunotherapy pathway	3.07E00	9.65E-02	2.646	CD28,GSK3B,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,JAK1,LATS2,PIK3CB,TGFB1	
Hedgehog ligand biogenesis	3.05E00	1.23E-01	2.828	PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2	
Thiosulfate Disproportionation III (Rhodanese)	3.02E00	1E00	NaN	MPST,TST	
Abacavir ADME	2.97E00	1.19E-01	-2.828	NEK4,PI4KA,PIK3CB,SPHK1,STK24,STK38,STK4,STK40	
Ribavirin ADME	2.97E00	1.19E-01	-2.828	NEK4,PI4KA,PIK3CB,SPHK1,STK24,STK38,STK4,STK40	
Mitotic Roles of Polo-Like Kinase	2.97E00	1.19E-01	NaN	ANAPC5,CAPN1,HSP90B1,PPM1L,PPP2R2D,PPP2R5A,TGFB1,WEE1	
Netrin Signaling	2.93E00	8E-02	-3.207	ABLIM3,ARPC1B,FYN,ITPR1,ITPR2,MAPK1,NCK2,PIK3CB,PRKAR1B,PRKAR2B,PRKCA,PRKCB,STX1A,YKT6	
PI Metabolism	2.93E00	1.07E-01	-2.333	ARF1,ARF3,MTMR10,MTMR12,PI4KA,PIK3CB,PIP5K1C,PLEKHA4,RUFY1	
TNFR2 non-canonical NF-kB pathway	2.92E00	1.18E-01	2.828	PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2	
Formation of Fibrin Clot (Clotting Cascade)	2.92E00	1.54E-01	-1.633	F2R,GP1BA,GP5,GP9,PRTN3,VWF	
SNARE Signaling Pathway	2.9E00	8.7E-02	-1.897	ADCY3,CALM3,GUCY1A1,GUCY1B1,MYH9,MYL9,PRKAR1B,PRKAR2B,RAB8A,SNAP29,STX1A,YKT6	
Integrin signaling	2.88E00	1.85E-01	-2.236	ITGA2B,ITGB3,SRC,TLN1,VWF	
Hematoma Resolution Signaling Pathway	2.88E00	6.95E-02	0.258	CCR4,CD36,CD47,F2R,F2RL3,GSK3B,MAPK1,PRKAB2,SQOR,SRC,TGFB1,THBS1,TNFSF10,TUBA1C,TUBA4A,TUBA8,UCP2,VPS35	
White Adipose Tissue Browning Pathway	2.87E00	8.63E-02	-2.333	ADCY3,ATF4,GNAS,GUCY1A1,GUCY1B1,ITPR1,ITPR2,LDHA,MAPK1,PRKAB2,PRKAR1B,PRKAR2B	
Human Embryonic Stem Cell Pluripotency	2.82E00	7.5E-02	-2.840	BMP6,BRAF,FGF2,GSK3B,HSP90B1,JAK1,MAPK1,PDGFA,PIK3CB,PRKCA,PRKCB,RAF1,SMAD2,SPHK1,TGFB1	
Sulfur amino acid metabolism	2.81E00	1.79E-01	-1.342	ADI1,MPST,MTR,SQOR,TST	
DAG and IP3 signaling	2.81E00	1.46E-01	-2.236	ADCY3,ITPR1,ITPR2,PRKAR1B,PRKAR2B,PRKCA	
RET signaling	2.81E00	1.46E-01	-2.449	DOK2,DOK6,PDLIM7,PIK3CB,PRKCA,SRC	
Mechanisms of Viral Exit from Host Cells	2.81E00	1.46E-01	NaN	ACTB,ACTG1,CHMP2A,CHMP6,PRKCA,PRKCB	
IL-13 Signaling Pathway	2.8E00	8.94E-02	-3.162	CD36,FAM120A,FYN,JAK1,MAPK1,PDGFA,PIK3CB,ROCK2,SRC,TGFB1,YES1	
Cargo recognition for clathrin-mediated endocytosis	2.8E00	9.52E-02	-1.897	AP2M1,ARRB1,EGF,EPS15,EPS15L1,LDLRAP1,NECAP2,STON2,TGOLN2,VAMP8	
Regulation of mitotic cell cycle	2.78E00	1.02E-01	2.333	ANAPC5,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2	
Synaptic Long Term Potentiation	2.77E00	8.87E-02	-3.162	ATF4,CALM3,GNAQ,ITPR1,ITPR2,MAPK1,PRKAR1B,PRKAR2B,PRKCA,PRKCB,RAF1	
p38 MAPK Signaling	2.77E00	8.87E-02	-2.530	ATF4,H3-3A,IRAK2,MAP3K5,MAPKAPK2,MAX,MEF2C,PLA2G12A,TAB2,TGFB1,TIFA	
Natural Killer Cell Signaling	2.75E00	7.39E-02	-0.832	FYN,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HSPA5,ITGB1,MAP3K5,MAPK1,PIK3CB,RAF1,TNFSF10,VAV3,WIPF1	
NAP1L1 Transcription Regulation Signaling Pathway	2.75E00	1.01E-01	-3.000	CDKN1A,H3-3A,MAPK1,MYH9,PIK3CB,TUBA1C,TUBA4A,TUBA8,TUBB1	
Ion channel transport	2.75E00	7.65E-02	-2.673	ANO6,ATP2A2,ATP2A3,ATP2C1,ATP6V0E1,FKBP1B,MLKL,OSTM1,RAF1,STOM,TRPC4AP,TRPC6,TTYH3,WWP1	
Sheddase Signaling Pathway	2.73E00	7.35E-02	-2.324	ADAM10,ARHGAP32,CCR4,ELK3,ITGB1,ITGB3,ITGB5,MAPK1,PDGFA,PIK3CB,SELP,SRC,TGFB1,VWF,ZBTB16	
Tuberculosis Latent Signaling Pathway	2.72E00	1E-01	0.333	ADCY3,CD36,DLST,GUCY1A1,GUCY1B1,PRKAR1B,PRKAR2B,TGFB1,TNFSF10	
Lung Ionic Balance Signaling Pathway	2.7E00	5.56E-02	-2.785	ABCC4,ADGRE1,CCR4,F2R,F2RL3,FYN,GNAS,GPR137,LPAR5,MAPK1,MYH9,OXTR,P2RY1,PANX1,PPM1L,PPP2R2D,PPP2R5A,PRKAB2,PRKAR1B,PRKAR2B,PRKCA,PRKCB,PTGIR,ROCK2,SRC,TBXA2R,TGFB1,TNFSF10,YES1	
Signaling by SCF-KIT	2.7E00	1.4E-01	-2.449	FYN,GRAP2,PRKCA,SH2B3,SRC,YES1	
Antigen Presentation Pathway	2.7E00	1.4E-01	-1.000	HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,PSMB6	
ERK5 Signaling	2.68E00	1.08E-01	-2.828	ATF4,EGF,ELK4,GNA13,GNAQ,MEF2C,SRC,YWHAH	
Signaling by NTRK3 (TRKC)	2.67E00	1.67E-01	-2.236	CASP2,CASP3,IRS1,PTPRS,SRC	
Parkinson's Signaling Pathway	2.65E00	6.33E-02	0.000	ACTB,ACTG1,ALDH9A1,ATF4,ATP6V0E1,CALM3,CASP3,ERN1,HSPA5,ITPR1,ITPR2,MAPK1,SMOX,TGFB1,TNFSF10,TUBA1C,TUBA4A,TUBA8,TUBB1,XBP1	
Unfolded protein response	2.65E00	9.78E-02	-0.707	AMFR,ATF4,ERN1,HSP90B1,HSPA5,INSIG1,MAP3K5,SREBF2,XBP1	
Cell Cycle Checkpoints	2.65E00	6.62E-02	0.000	ANAPC5,CDKN1A,CENPT,CLIP1,DYNLL2,HERC2,PPP2R5A,PSMA7,PSMB1,PSMB10,PSMB6,PSMC2,PSMC3,PSMD7,PSME2,SEC13,WEE1,YWHAH	
trans-Golgi Network Vesicle Budding	2.65E00	1.07E-01	-1.414	APP,ARF1,ARRB1,CHMP2A,SNX9,SORT1,TGOLN2,VAMP8	
Hepatitis B Chronic Liver Pathogenesis Signaling Pathway	2.64E00	7.45E-02	-2.496	ATF4,GSK3B,JAK1,MAPK1,MAVS,MYH9,ORAI1,PIK3CB,PRKCA,PRKCB,RAF1,SATB1,SMAD2,TGFB1	
Insulin Receptor Signaling	2.63E00	8.53E-02	-0.905	CRKL,EIF2B1,FYN,GSK3B,IRS1,JAK1,MAPK1,PIK3CB,PRKAR1B,PRKAR2B,RAF1	
RAR Activation	2.62E00	5.77E-02	-3.674	ACTB,ADAM10,ADCY3,ATF4,CDKN1A,EGF,F11R,GNAQ,GUCY1A1,GUCY1B1,MAPK1,PDE2A,PDE4D,PDE5A,PIK3CB,PRKAR1B,PRKAR2B,RAB11FIP3,RHOBTB1,SCAND1,SRC,TGFB1,TNFSF10,TRIM24,ZBTB16	
Unfolded Protein Response (UPR)	2.61E00	2.11E-01	0.000	ATF4,ERN1,HSPA5,XBP1	
Cardiac conduction	2.61E00	8.46E-02	-2.828	ATP2A2,ATP2A3,FKBP1B,HIPK2,ITPR1,ITPR2,KCNK6,ORAI1,ORAI2,SLC8A3,STIM1	
Signaling by CSF1 (M-CSF) in myeloid cells	2.61E00	1.61E-01	-2.236	FYN,GRAP2,PIK3CB,SRC,YES1	
Endocannabinoid Neuronal Synapse Pathway	2.59E00	8E-02	-0.816	ADCY3,GNAO1,GNAQ,GNB5,GUCY1A1,GUCY1B1,ITPR1,ITPR2,MAPK1,MGLL,PRKAR1B,PRKAR2B	
Apelin Adipocyte Signaling Pathway	2.59E00	9.57E-02	-0.816	ADCY3,GPX1,GUCY1A1,GUCY1B1,MAPK1,PRDX6,PRKAB2,PRKAR1B,PRKAR2B	
Antiproliferative Role of Somatostatin Receptor 2	2.58E00	1.04E-01	-1.342	BRAF,CDKN1A,GNB5,GUCY1A1,GUCY1B1,MAPK1,PIK3CB,SRC	
Leptin Signaling in Obesity	2.58E00	1.04E-01	NaN	ADCY3,GUCY1A1,GUCY1B1,LEPR,MAPK1,PIK3CB,PRKAR1B,PRKAR2B	
Glioblastoma Multiforme Signaling	2.56E00	7.6E-02	-2.111	CCND3,CDKN1A,EGF,GSK3B,IGF1R,ITPR1,ITPR2,MAPK1,PDGFA,PIK3CB,RAF1,RHOBTB1,SRC	
MITF-M-dependent gene expression	2.55E00	9.47E-02	-1.667	ACTB,AGO2,ARID1B,ATP6V0E1,BCL7C,CDKN1A,DIAPH1,GMPR,MYO5A	
PKR-mediated signaling	2.54E00	1.03E-01	-2.121	ISG15,MAVS,PPP2R5A,SPHK1,TUBA1C,TUBA4A,TUBA8,TUBB1	
Signaling by Hippo	2.52E00	2E-01	-2.000	CASP3,LATS2,SAV1,STK4	
Calcium Transport I	2.52E00	3E-01	NaN	ATP2A2,ATP2A3,ATP2C1	
XBP1(S) activates chaperone genes	2.45E00	1.25E-01	-1.633	CTDSP2,LMNA,SRPRA,TLN1,TPP1,XBP1	
