© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Oxytocin Signaling Pathway	8.19E00	1.05E-01	-4.914	ARRB1,ATF4,CALM3,CD36,GNA13,GNAO1,GNAQ,GNB5,GSK3B,GUCY1A1,GUCY1B1,ITPR1,ITPR2,MAPK1,MEF2C,MFN2,MYH9,MYL9,MYLK,OXTR,PIK3CB,PLA2G12A,PPP1R14A,PRKAB2,PRKAR1B,PRKAR2B,PRKCA,PRKCB,RAF1,ROCK2	
Thrombin Signaling	8.1E00	1.17E-01	-4.123	ADCY3,ARHGEF12,EGF,F2R,F2RL3,GATA2,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GUCY1A1,GUCY1B1,ITPR1,ITPR2,MAPK1,MYL9,MYLK,PIK3CB,PRKCA,PRKCB,RAF1,RHOBTB1,ROCK2,SRC	
Platelet Adhesion to exposed collagen	8.06E00	5E-01	-2.828	FYN,GP1BA,GP5,GP6,GP9,ITGA2,ITGB1,VWF	
Dilated Cardiomyopathy Signaling Pathway	8.01E00	1.39E-01	-0.832	ACTB,ACTG1,ADCY3,ATP2A2,DAG1,GNAS,GSK3B,GUCY1A1,GUCY1B1,ILK,ITPR1,ITPR2,LMNA,MAPK1,MYH9,MYL9,PDE2A,PRKAR1B,PRKAR2B,TNNC2,TPM1	
Protein Sorting Signaling Pathway	7.94E00	1.27E-01	-3.273	ADCY3,ARF1,ARFGEF2,FYN,GNAQ,GNAS,GUCY1A1,GUCY1B1,PLD3,PRKAR1B,PRKAR2B,RAB11B,SEC13,SNX19,SNX20,SNX29,SNX9,SORT1,SRC,TMED4,TMED8,VPS35,YES1	
ABRA Signaling Pathway	7.94E00	1.82E-01	-4.000	ABLIM3,ACTB,ACTG1,ACTN1,DIAPH1,ITGB1,MEF2C,MYH9,MYL9,PPP1R14A,ROCK2,SMTN,TPM1,TPM4,VCL,VIL1	
Cardiac β-adrenergic Signaling	7.77E00	1.29E-01	-1.155	ADCY3,ATP2A2,ATP2A3,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GUCY1A1,GUCY1B1,PDE2A,PDE4D,PDE5A,PKIA,PKIG,PPM1L,PPP2R2D,PPP2R5A,PRKAR1B,PRKAR2B,SLC8A3	
Signaling by Rho Family GTPases	7.65E00	1.05E-01	-3.153	ACTB,ACTG1,ARHGEF12,ARPC1B,CLIP1,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,ITGA2,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,MAPK1,MYL9,MYLK,PI4KA,PIK3CB,PIP5K1C,RAF1,RHOBTB1,ROCK2,SLC9A1,WIPF1	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	7.58E00	1.72E-01	-3.500	ACTB,ACTG1,ARPC1B,FYN,MAPK1,MYO5A,NCK2,PLD3,PRKCA,PRKCB,RAB11B,SRC,TLN1,TLN2,VAV3,YES1	
Paxillin Signaling	7.54E00	1.6E-01	-3.051	ACTB,ACTG1,ACTN1,ARF1,ITGA2,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,MAPK1,NCK2,PIK3CB,SRC,TLN1,TLN2,VCL	
