© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Oxytocin Signaling Pathway	5.96E00	1.06E-01	-5.112	ARRB1,ATF4,CALM1 (includes others),CD36,GNA13,GNAO1,GNAQ,GNB5,GSK3B,GUCY1A1,GUCY1B1,ITPR1,ITPR2,MAPK1,MEF2C,MFN2,MYH9,MYL6,MYL9,MYLK,OXTR,PIK3CB,PLA2G12A,PPP1R14A,PRKAB2,PRKAR1B,PRKAR2B,PRKCA,PRKCB,RAF1	
Gap Junction Signaling	5.58E00	9.85E-02	-2.121	ACTB,ACTG1,ATF4,CALM1 (includes others),CTTN,DBN1,EGF,GNAQ,GNAS,GSK3B,GUCY1A1,GUCY1B1,ITPR1,ITPR2,MAP3K5,MAPK1,OXTR,P2RY1,PIK3CB,PLA2G12A,PRKAR1B,PRKAR2B,PRKCA,PRKCB,RAF1,SMAD2,SRC,TGFB1,TUBA1C,TUBA4A,TUBA8,TUBB1	
Docosahexaenoic Acid (DHA) Signaling	5.55E00	1.08E-01	-4.426	ADAM10,APP,ATF4,BMP6,BRAF,EGF,FGF2,GNAQ,GNAS,GSK3B,GUCY1A1,GUCY1B1,ITPR1,ITPR2,MAPK1,PDGFB,PIK3CB,PLA2G12A,PRDX6,PRKAB2,PRKAR1B,PRKAR2B,PRKCA,PRKCB,RAF1,STX1A,TGFB1	
Clathrin-mediated Endocytosis Signaling	5.5E00	1.15E-01	NaN	ACTB,ACTG1,AP2B1,AP2M1,ARPC1B,ARRB1,CLU,CTTN,DNM1,EGF,EPS15,F2R,FGF2,ITGB1,ITGB3,ITGB5,LDLRAP1,PDGFA,PDGFB,PIK3CB,PIP5K1C,RAB11B,SNX9,SRC	
ABRA Signaling Pathway	5.47E00	1.63E-01	-3.873	ABLIM3,ACTB,ACTG1,ACTN1,DIAPH1,ITGB1,MEF2C,MYH9,MYL9,PPP1R14A,SMTN,TPM1,TPM4,VCL,VIL1	
Senescence Pathway	5.43E00	1E-01	-3.922	ANAPC5,BHLHE40,BRAF,CALM1 (includes others),CAPN1,CAPN11,CAPN2,CAPNS1,CCND3,CDKN1A,E2F1,ELF4,ELK3,HIPK2,IKBKE,IKBKG,ITPR2,MAPK1,MAPKAPK2,PDK1,PDK2,PDK3,PIK3CB,PPM1L,PPP2R2D,PPP2R5A,RAF1,SERPINE1,SMAD2,TGFB1	
Thrombin Signaling	5.41E00	1.11E-01	-4.000	ARHGEF12,EGF,F2R,F2RL3,GATA2,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GUCY1A1,GUCY1B1,ITPR1,ITPR2,MAPK1,MYL6,MYL9,MYLK,PIK3CB,PRKCA,PRKCB,RAF1,RHOBTB1,SRC	
CLEAR Signaling Pathway	5.39E00	1.02E-01	-0.378	ATF4,ATP6AP1,ATP6V0E1,BMP6,CTNS,CTSA,EGF,FGF2,GLA,GSK3B,IGF1R,ITPR1,ITPR2,LAMTOR1,MAPK1,NPRL3,PDGFB,PPM1L,PPP2R2D,PPP2R5A,PRKAB2,PRKCA,PRKCB,PSAP,SEC13,TGFB1,TPP1,VPS35,YWHAH	
AMPK Signaling	5.33E00	1.07E-01	-1.387	ACTB,AK2,AK3,ATF4,CDKN1A,CHRNA2,CPT1A,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,MAPK1,ORAI1,ORAI2,PFKP,PIK3CB,PPM1A,PPM1L,PPP2R2D,PPP2R5A,PRKAB2,PRKAR1B,PRKAR2B,STIM1	
Gap junction trafficking and regulation	5.28E00	2.65E-01	-3.000	ACTB,ACTG1,AP2M1,DNM1,SRC,TUBA1C,TUBA4A,TUBA8,TUBB1	
C-type lectin receptors (CLRs)	5.28E00	1.31E-01	-0.229	CALM1 (includes others),CARD9,FBXW11,FYN,ICAM2,IKBKG,ITPR1,ITPR2,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2,PYCARD,RAF1,SRC,TAB2	
IL-1 Signaling	5.24E00	1.56E-01	-2.121	GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GUCY1A1,GUCY1B1,IKBKE,IKBKG,IRAK2,MAPK1,PRKAR1B,PRKAR2B,TAB2	
Insulin Secretion Signaling Pathway	5.23E00	1.02E-01	-2.600	AGO2,ATF4,EIF2B1,EIF4A3,EIF4G2,FURIN,FYN,GNAQ,GNAS,GUCY1A1,GUCY1B1,HCK,ITPR1,ITPR2,MAPK1,PIK3CB,PRKAR1B,PRKAR2B,PRKCA,PRKCB,SEC61G,SLC2A3,SRC,SSR4,STAT2,STX1A,YES1,YKT6	
Signaling by VEGF	5.23E00	1.48E-01	-3.742	ABI2,ACTB,ACTG1,CALM1 (includes others),FYN,ITGB3,ITPR1,ITPR2,MAPKAPK2,NCK2,PIK3CB,PRKCA,PRKCB,SPHK1,SRC,VAV3	
Elastic fibre formation	5.16E00	2.27E-01	-2.530	EMILIN1,EMILIN2,FURIN,ITGB1,ITGB3,ITGB5,LOXL3,LTBP1,LTBP4,TGFB1	
Semaphorin interactions	5.14E00	1.88E-01	-3.464	ARHGAP35,ARHGEF12,FYN,GSK3B,ITGB1,MYH9,MYL6,MYL9,PIP5K1C,PLXNA4,PLXNB3,TLN1	
Axonal Guidance Signaling	5.09E00	8.24E-02	NaN	ABLIM3,ADAM10,ADAM9,ARHGEF12,ARPC1B,BMP6,BRCC3,CRKL,EGF,FYN,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GSK3B,HERC2,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,KALRN,MAPK1,MYL6,MYL9,NCK2,PDGFA,PDGFB,PIK3CB,PLXNB3,PRKAR1B,PRKAR2B,PRKCA,PRKCB,RAF1,TUBA1C,TUBA4A,TUBA8,TUBB1,WIPF1	
Role of Tissue Factor in Cancer	5.02E00	1.11E-01	-2.711	ARRB1,BRAF,EGF,F2R,FYN,GNA13,GNAQ,HCK,IKBKE,IKBKG,ITGA6,ITGB1,ITGB3,MAPK1,PIK3CB,PPP2R2D,PPP2R5A,PRKCA,RAF1,RPS6KA1,SRC,TGFB1,YES1	
PPARα/RXRα Activation	4.97E00	1.13E-01	-0.471	ADIPOR2,CD36,GNAQ,GNAS,GPD2,GUCY1A1,GUCY1B1,IKBKE,IKBKG,ITGB5,MAPK1,MED12,MEF2C,NR2C2,PRKAB2,PRKAR1B,PRKAR2B,PRKCA,PRKCB,RAF1,SMAD2,TGFB1	
OAS antiviral response	4.96E00	5.56E-01	1.342	FLNA,OAS1,OAS2,OAS3,OASL	
RHO GTPases activate PAKs	4.95E00	3.33E-01	-2.646	CALM1 (includes others),CTTN,FLNA,MYH9,MYL6,MYL9,MYLK	
GP6 Signaling Pathway	4.92E00	1.34E-01	-2.840	ADAM10,CALM1 (includes others),COL10A1,COL6A3,FYN,GP6,GRAP2,GSK3B,ITGA2B,ITGB3,ITPR1,LAMB2,PIK3CB,PRKCA,PRKCB,TLN1,VAV3	
IL-10 Signaling	4.9E00	1.23E-01	0.229	ATF4,BHLHE40,CCR1,CDKN1A,CDKN2D,FCGR2A,GSK3B,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,IKBKE,IKBKG,IL1RN,MAPK1,PBX1,PKM,PRKAB2	
Regulation of Actin-based Motility by Rho	4.88E00	1.39E-01	-1.508	ACTB,ARHGDIA,ARPC1B,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,MYL6,MYL9,MYLK,PI4KA,PIP4K2C,PIP5K1C,RHOBTB1,WIPF1	
Remodeling of Epithelial Adherens Junctions	4.86E00	1.76E-01	NaN	ACTB,ACTG1,ACTN1,ARPC1B,CLIP1,DNM1,SRC,TUBA1C,TUBA4A,TUBA8,TUBB1,VCL	
HER-2 Signaling in Breast Cancer	4.85E00	1.06E-01	-2.294	ARF1,ARF3,BRAF,CDKN1A,EGF,ELF4,ELK3,FYN,GSK3B,HCK,IKBKE,IKBKG,ITGB1,ITGB3,ITGB5,MAPK1,PDK1,PIK3CB,PRKCA,PRKCB,RAF1,SEC13,SRC,YES1	
Insertion of tail-anchored proteins into the endoplasmic reticulum membrane	4.8E00	3.18E-01	-1.134	APP,EMD,GET1,SEC61G,STX1A,STX5,UBL4A	
Clathrin-mediated endocytosis	4.78E00	1.31E-01	-3.153	ACTB,ACTG1,AP2B1,AP2M1,ARRB1,CTTN,DNM1,EGF,EPS15,EPS15L1,LDLRAP1,NECAP2,PACSIN2,PIP5K1C,REPS2,SNX9,VAMP8	
Fcgamma receptor (FCGR) dependent phagocytosis	4.78E00	1.21E-01	-3.638	ABI2,ACTB,ACTG1,ARPC1B,FCGR2A,FYN,HCK,ITPR1,ITPR2,MAPK1,MYH9,MYO1C,MYO5A,NCKIPSD,PIK3CB,SRC,VAV3,WIPF1,YES1	
ILK Signaling	4.73E00	1.09E-01	-2.065	ACTB,ACTG1,ACTN1,ATF4,FLNA,GSK3B,ILK,ITGB1,ITGB3,ITGB5,MAPK1,MYH9,MYL6,MYL9,NCK2,PARVB,PIK3CB,PPM1L,PPP2R2D,PPP2R5A,RHOBTB1,VCL	
RHO GTPases activate IQGAPs	4.67E00	2.58E-01	-2.828	ACTB,ACTG1,CALM1 (includes others),CLIP1,TUBA1C,TUBA4A,TUBA8,TUBB1	
Intra-Golgi and retrograde Golgi-to-ER traffic	4.66E00	1.08E-01	-3.411	ARF1,ARF3,BICD2,CUX1,DYNLL2,GALNT2,KIF3C,MAN1A1,MAN2A1,MAN2A2,NBAS,RAB1B,RAB30,RAB6B,SNAP29,STX5,TUBA1C,TUBA4A,TUBA8,TUBB1,USE1,YKT6	
Translocation of SLC2A4 (GLUT4) to the plasma membrane	4.66E00	1.69E-01	-3.464	ACTB,ACTG1,CALM1 (includes others),MYH9,MYO1C,MYO5A,PRKAB2,TUBA1C,TUBA4A,TUBA8,TUBB1,YWHAH	
Paxillin Signaling	4.65E00	1.4E-01	-3.317	ACTB,ACTG1,ACTN1,ARF1,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,MAPK1,NCK2,PIK3CB,SRC,TLN1,VCL	
Protein Kinase A Signaling	4.65E00	8.52E-02	-2.646	ANAPC5,ATF4,BRAF,CALM1 (includes others),CDC14B,FLNA,GNA13,GNAQ,GNAS,GNB5,GSK3B,GUCY1A1,GUCY1B1,H3-3A/H3-3B,ITPR1,ITPR2,MAPK1,MYL6,MYL9,MYLK,PDE2A,PHKB,PPP1R14A,PRKAR1B,PRKAR2B,PRKCA,PRKCB,PTPN18,PTPN6,PTPRJ,PTPRS,PYGB,RAF1,TGFB1,YWHAH	
Activation of NMDA receptors and postsynaptic events	4.57E00	1.55E-01	-2.887	CALM1 (includes others),DLG4,MAPK1,NRGN,PRKAB2,PRKAR1B,PRKAR2B,RPS6KA1,SRC,TUBA1C,TUBA4A,TUBA8,TUBB1	
Sertoli Cell-Germ Cell Junction Signaling Pathway (Enhanced)	4.57E00	1.02E-01	-1.225	ACTB,ACTG1,ARPC1B,CLDN5,F11R,GSK3B,GUCY1A1,GUCY1B1,ILK,ITGA6,ITGB1,LAMB2,MAP3K5,MAPK1,PIK3CB,PPM1L,PPP2R2D,PPP2R5A,PRKAB2,PRKAR1B,PRKAR2B,SMAD2,SRC,TGFB1	
Thrombin signalling through proteinase activated receptors (PARs)	4.56E00	2.5E-01	-2.828	ARRB1,F2R,F2RL3,GNA13,GNAQ,GNB5,MAPK1,SRC	
Inhibition of ARE-Mediated mRNA Degradation Pathway	4.55E00	1.17E-01	0.000	AGO2,EDC4,MAPK1,MAPKAPK2,PPM1L,PPP2R2D,PPP2R5A,PRKAR1B,PRKAR2B,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2,TNFSF10,TNFSF13B,YWHAH	
Phagosome Maturation	4.51E00	1.16E-01	NaN	ATP6AP1,ATP6V0E1,CTSA,CTSG,DYNLL2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,MPO,PRDX6,STX1A,TUBA1C,TUBA4A,TUBA8,TUBB1,VPS37B,YKT6	
Orexin Signaling Pathway	4.51E00	1.01E-01	-4.491	ATP6AP1,ATP6V0E1,CALM1 (includes others),GNAQ,GNAS,GNB5,GUCY1A1,GUCY1B1,ITPR1,ITPR2,MAPK1,PI4KA,PIK3CB,PIP4K2C,PIP5K1C,PLA2G12A,PRKAB2,PRKAR1B,PRKAR2B,PRKCA,PRKCB,SLC8A3,SRC,TRPC6	
Leukocyte Extravasation Signaling	4.51E00	1.09E-01	-2.828	ACTB,ACTG1,ACTN1,ARHGAP35,ARHGAP5,ARHGAP6,CLDN5,CRKL,CTTN,F11R,ITGB1,MAPK1,MYL6,PECAM1,PIK3CB,PRKCA,PRKCB,SRC,VAV3,VCL,WIPF1	
Endothelin-1 Signaling	4.47E00	1.08E-01	-3.578	BRAF,CASP2,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GUCY1A1,GUCY1B1,ITPR1,ITPR2,MAPK1,PIK3CB,PLA2G12A,PLD3,PRDX6,PRKCA,PRKCB,PTGS1,RAF1,SRC	
RHOA Signaling	4.46E00	1.29E-01	-1.500	ACTB,ACTG1,ARHGAP35,ARHGAP5,ARHGAP6,ARHGEF12,ARPC1B,GNA13,IGF1R,MYL6,MYL9,MYLK,PI4KA,PIP4K2C,PIP5K1C,SEPTIN2	
Cardiac β-adrenergic Signaling	4.45E00	1.11E-01	-0.302	ATP2A2,ATP2A3,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GUCY1A1,GUCY1B1,PDE2A,PKIA,PKIG,PPM1L,PPP1R14A,PPP2R2D,PPP2R5A,PRKAR1B,PRKAR2B,SLC8A3	
IL-8 Signaling	4.44E00	1.05E-01	-3.153	BRAF,CCND3,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,IKBKE,IKBKG,IRAK2,ITGB3,MAPK1,MPO,MYL9,PIK3CB,PLD3,PRKCA,PRKCB,RAF1,RHOBTB1,SRC	
L1CAM interactions	4.42E00	1.28E-01	-3.500	ACTB,ACTG1,AP2B1,AP2M1,DLG4,DNM1,ITGA2B,ITGB1,ITGB3,MAPK1,RPS6KA1,SRC,TUBA1C,TUBA4A,TUBA8,TUBB1	
Glioma Signaling	4.42E00	1.28E-01	-3.162	CALM1 (includes others),CCND3,CDKN1A,CDKN2D,E2F1,EGF,HDAC5,IDH1,IGF1R,MAPK1,PDGFA,PDGFB,PIK3CB,PRKCA,PRKCB,RAF1	
Hepatic Fibrosis Signaling Pathway	4.39E00	8.27E-02	-3.536	ATF4,BRAF,CALM1 (includes others),COL10A1,FGF2,GSK3B,IKBKE,IKBKG,IL1RN,IRAK2,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,KLF9,LEPR,MAPK1,MYL6,MYL9,MYLK,PDGFA,PDGFB,PDK1,PIK3CB,PRKAR1B,PRKAR2B,PRKCA,PRKCB,RAF1,RHOBTB1,SDHA,SERPINE1,SMAD2,TGFB1	
