© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
PI Metabolism	2.81E00	1.22E-01	-1.897	ARF1,ARF3,MTMR10,MTMR12,PI4KA,PIK3CB,PIP4K2C,PIP5K1C,PLEKHA4,RUFY1	
Fc epsilon receptor (FCERI) signaling	2.8E00	8.74E-02	-0.500	CALM1 (includes others),FBXW11,FYN,GRAP2,IKBKG,ITPR1,ITPR2,MAPK1,PIK3CB,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2,TAB2,VAV3	
TCR signaling	2.8E00	1.03E-01	0.277	FBXW11,GRAP2,IKBKG,PIK3CB,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2,PTPRJ,TAB2	
NLR signaling pathways	2.79E00	1.43E-01	-1.414	APP,CARD9,CASP2,IKBKG,IRAK2,PANX1,PYCARD,TAB2	
EGF Signaling	2.79E00	1.43E-01	-2.828	EGF,ITPR1,ITPR2,MAPK1,PIK3CB,PRKCA,RAF1,SRC	
GNRH Signaling	2.77E00	8.9E-02	-3.606	ATF4,CALM1 (includes others),GNAQ,GNAS,GNB5,GUCY1A1,GUCY1B1,ITPR1,ITPR2,MAP3K5,MAPK1,PRKAR1B,PRKAR2B,PRKCA,PRKCB,RAF1,SRC	
Signal amplification	2.76E00	1.82E-01	-2.449	GNA13,GNAQ,GNB5,P2RY1,SRC,TBXA2R	
FAT10 Signaling Pathway	2.74E00	1.4E-01	NaN	HTT,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2	
Sertoli Cell-Sertoli Cell Junction Signaling	2.74E00	8.23E-02	-3.578	ACTB,ACTG1,ACTN1,ATF4,CLDN5,F11R,ITGA6,ITGB1,LAMB2,MAP3K5,MAPK1,PIK3CB,RAF1,RPS6KA1,SRC,TUBA1C,TUBA4A,TUBA8,TUBB1,VCL	
NAFLD Signaling Pathway	2.73E00	8.41E-02	-0.229	ATF4,ATP2A2,CD36,CPT1A,ERN1,GSK3B,IKBKE,IKBKG,MAP3K5,PIK3CB,PPM1L,PPP2R2D,PPP2R5A,PRKAB2,PYCARD,TGFB1,TNFSF10,TNFSF13B,XBP1	
GPER1 signaling	2.72E00	1.56E-01	-2.646	GNAS,GNAZ,GNB5,ITGB1,PRKAR1B,PRKAR2B,SRC	
Microautophagy Signaling Pathway	2.72E00	9.38E-02	1.387	CHMP6,COL10A1,COL6A3,MAP1LC3A,PRKAB2,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2,SEC13,VAMP8,VPS37B	
ISG15 antiviral mechanism	2.7E00	1.27E-01	1.667	EIF4A3,EIF4G2,HERC5,IFIT1,ISG15,MX1,MX2,SEC13,UBA7	
Sleep NREM Signaling Pathway	2.67E00	1.04E-01	2.887	ATF4,BRAF,GNAS,GUCY1A1,GUCY1B1,HDAC5,MAPK1,PRKAR1B,PRKAR2B,PRKCA,RAF1,YWHAH	
Polyamine Regulation in Colon Cancer	2.65E00	1.36E-01	-1.414	BRAF,GSK3B,MAPK1,OAZ1,ODC1,RAF1,SMOX,STIM1	
GPVI-mediated activation cascade	2.62E00	1.71E-01	-1.633	FYN,GP6,MPIG6B,PIK3CB,PTPN6,VAV3	
Synaptic Long Term Potentiation	2.62E00	9.85E-02	-2.496	ATF4,CALM1 (includes others),GNAQ,ITPR1,ITPR2,MAPK1,PPP1R14A,PRKAR1B,PRKAR2B,PRKCA,PRKCB,RAF1,RPS6KA1	
PDGF Signaling	2.62E00	1.15E-01	-3.162	CRKL,MAPK1,PDGFA,PDGFB,PIK3CB,PRKCA,PRKCB,RAF1,SPHK1,SRC	
Regulation of RUNX2 expression and activity	2.62E00	1.23E-01	1.667	GSK3B,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2,WWP1	
Beta-catenin independent WNT signaling	2.61E00	1.08E-01	-2.714	AGO2,AP2B1,AP2M1,CALM1 (includes others),GNAO1,GNB5,ITPR1,ITPR2,NLK,PRKCA,PRKCB	
Neurovascular Coupling Signaling Pathway	2.6E00	8.19E-02	-2.524	APP,CALM1 (includes others),ENTPD7,GNAQ,GUCY1A1,GUCY1B1,ITPR1,ITPR2,ORAI2,P2RX1,P2RY1,PLA2G12A,PRDX6,PRKAR1B,PRKAR2B,PTGIR,PTGS1,STIM1,TBXA2R	
NIK-->noncanonical NF-kB signaling	2.6E00	1.33E-01	2.121	FBXW11,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2	
ERK5 Signaling	2.58E00	1.22E-01	-2.333	ATF4,EGF,ELK4,GNA13,GNAQ,MEF2C,RPS6KA1,SRC,YWHAH	
Adrenomedullin signaling pathway	2.58E00	8.54E-02	-3.000	BRAF,CALM1 (includes others),GNAQ,GNAS,GSK3B,GUCY1A1,GUCY1B1,IL1RN,ITPR1,ITPR2,MAPK1,MAX,MYLK,PIK3CB,PRKAR1B,PRKAR2B,RAF1	
FLT3 Signaling	2.56E00	1.67E-01	-1.633	FYN,GRAP2,HCK,PTPRJ,SH2B3,SLA2	
XBP1(S) activates chaperone genes	2.56E00	1.46E-01	-1.890	CTDSP2,LMNA,SRPRA,TLN1,TPP1,TSPYL2,XBP1	
Apelin Muscle Signaling Pathway	2.56E00	1.46E-01	NaN	GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,PRKAB2	
Cholecystokinin/Gastrin-mediated Signaling	2.55E00	1.01E-01	-2.714	GNA13,GNAQ,IL1RN,ITPR1,ITPR2,MAPK1,MEF2C,PRKCA,PRKCB,RAF1,RHOBTB1,SRC	
Cellular response to hypoxia	2.54E00	1.2E-01	1.667	EGLN3,LIMD1,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2	
Unfolded protein response	2.51E00	1.11E-01	-1.000	AMFR,ATF4,CD82,CEBPG,ERN1,HSPA2,INSIG1,MAP3K5,SREBF2,XBP1	
PFKFB4 Signaling Pathway	2.51E00	1.43E-01	-2.449	ATF4,FGF2,GNAS,MAPK1,PRKAR1B,PRKAR2B,TGFB1	
Pre-NOTCH Expression and Processing	2.5E00	1.18E-01	-2.828	AGO2,ATP2A2,ATP2A3,B4GALT1,E2F1,FURIN,MAML3,MFNG,ST3GAL6	
Miscellaneous transport and binding events	2.49E00	1.92E-01	-2.236	CTNS,DMTN,MRS2,NIPA1,NIPAL3	
Type II Diabetes Mellitus Signaling	2.48E00	9.15E-02	-1.508	ADIPOR2,CD36,IKBKE,IKBKG,ITPR1,ITPR2,MAP3K5,MAPK1,PIK3CB,PKM,PRKAB2,PRKCA,PRKCB,SLC27A4	
Crosstalk between Dendritic Cells and Natural Killer Cells	2.48E00	1.1E-01	NaN	ACTB,ACTG1,CD28,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,TLN1,TNFSF10	
Antiproliferative Role of Somatostatin Receptor 2	2.46E00	1.17E-01	-0.816	BRAF,CDKN1A,GNB5,GUCY1A1,GUCY1B1,MAPK1,PIK3CB,PTPN6,SRC	
Signaling by ERBB2	2.46E00	1.4E-01	-2.646	DIAPH1,EGF,FYN,PRKCA,PTPN18,SRC,YES1	
Glioblastoma Multiforme Signaling	2.45E00	8.77E-02	-2.309	CCND3,CDKN1A,E2F1,EGF,GSK3B,IGF1R,ITPR1,ITPR2,MAPK1,PDGFA,PDGFB,PIK3CB,RAF1,RHOBTB1,SRC	
Relaxin Signaling	2.43E00	9.03E-02	-2.828	BRAF,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GUCY1A1,GUCY1B1,MAPK1,PDE2A,PIK3CB,PRKAR1B,PRKAR2B	
Integrin signaling	2.41E00	1.85E-01	-2.236	ITGA2B,ITGB3,SRC,TLN1,VWF	
DDX58/IFIH1-mediated induction of interferon-alpha/beta	2.38E00	1.14E-01	0.333	APP,HERC5,IFIH1,IKBKE,IKBKG,IRF7,ISG15,MAVS,UBA7	
Formation of Fibrin Clot (Clotting Cascade)	2.38E00	1.54E-01	-2.449	F2R,F8,GP1BA,GP5,GP9,VWF	
Antigen Presentation Pathway	2.38E00	1.54E-01	NaN	HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,PSMB6	
Macroautophagy	2.38E00	1.23E-01	-1.414	ATG101,ATG9A,CHMP6,CHMP7,DYNLL2,LAMTOR1,MAP1LC3A,PRKAB2	
Activation of IRF by Cytosolic Pattern Recognition Receptors	2.38E00	1.23E-01	0.707	IFIH1,IFIT2,IKBKE,IKBKG,IRF7,ISG15,MAVS,STAT2	
Non-Small Cell Lung Cancer Signaling	2.37E00	1.06E-01	-2.828	CCND3,E2F1,EGF,HDAC5,ITPR1,ITPR2,MAPK1,PIK3CB,PRKCA,RAF1	
HIF1α Signaling	2.36E00	8.13E-02	-3.153	BMP6,BRAF,CDKN1A,EGF,EGLN3,FGF2,HSPA2,MAPK1,PDGFB,PIK3CB,PKM,PRKCA,PRKCB,RAF1,SERPINE1,SLC2A3,TGFB1	
MHC class II antigen presentation	2.34E00	9.52E-02	-2.887	AP2B1,AP2M1,ARF1,CTSA,DNM1,DYNLL2,KIF3C,SEC13,TUBA1C,TUBA4A,TUBA8,TUBB1	
RHO GTPases activate PKNs	2.34E00	1.79E-01	-2.236	MYH9,MYL6,MYL9,PPP1R14A,YWHAH	
Thiosulfate Disproportionation III (Rhodanese)	2.33E00	6.67E-01	NaN	MPST,TST	
Regulation of Apoptosis	2.31E00	1.32E-01	2.646	PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2	
DAG and IP3 signaling	2.27E00	1.46E-01	-2.000	CALM1 (includes others),ITPR1,ITPR2,PRKAR1B,PRKAR2B,PRKCA	
RET signaling	2.27E00	1.46E-01	-2.449	DOK2,DOK6,PDLIM7,PIK3CB,PRKCA,SRC	
TNFR2 non-canonical NF-kB pathway	2.26E00	1.18E-01	2.828	PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2,TNFSF13B	
Signaling by NOTCH4	2.24E00	1.08E-01	1.667	ADAM10,MAML3,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2	
Cardiac conduction	2.23E00	9.23E-02	-3.162	ATP2A2,ATP2A3,CALM1 (includes others),FKBP1B,HIPK2,ITPR1,ITPR2,KCNK6,ORAI1,ORAI2,SLC8A3,STIM1	
RHO GTPases activate CIT	2.22E00	2.11E-01	-2.000	DLG4,MYH9,MYL6,MYL9	
Cell Cycle: G1/S Checkpoint Regulation	2.22E00	1.16E-01	0.378	CCND3,CDKN1A,CDKN2D,E2F1,GSK3B,HDAC5,MAX,TGFB1	
Pulmonary Fibrosis Idiopathic Signaling Pathway	2.21E00	7.06E-02	-3.578	ACTB,ACTG1,ADAM10,BRAF,COL10A1,COL6A3,F2R,FGF2,GNA13,GSK3B,ILK,ITGB1,JARID2,MAPK1,PDGFA,PDGFB,PIK3CB,RAF1,RPS6KA1,SERPINE1,SMAD2,TGFB1,THBS1	
Calcium Transport I	2.21E00	3E-01	NaN	ATP2A2,ATP2A3,ATP2C1	
Colorectal Cancer Metastasis Signaling	2.2E00	7.38E-02	-2.530	ARRB1,BRAF,EGF,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GSK3B,GUCY1A1,GUCY1B1,MAPK1,PIK3CB,PRKAR1B,PRKAR2B,RHOBTB1,SMAD2,SRC,TGFB1	
IL-12 Signaling and Production in Macrophages	2.2E00	7.66E-02	0.000	ALOX12,CALM1 (includes others),CLU,COL10A1,FCGR2A,H3-3A/H3-3B,IFIH1,IKBKE,IKBKG,JMJD6,MAPK1,PIK3CB,PRKAB2,PRKCA,PRKCB,SELP,TGFB1,THBS1	
Signaling by ROBO receptors	2.18E00	9.48E-02	0.905	DAG1,NCK2,PRKCA,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2,SRC	
cAMP-mediated signaling	2.18E00	7.63E-02	-1.500	ATF4,BRAF,CALM1 (includes others),GNAO1,GNAS,GUCY1A1,GUCY1B1,MAPK1,PDE2A,PKIA,PKIG,PRKAR1B,PRKAR2B,PTGIR,RAF1,RPS6KA1,SRC,TBXA2R	
Regulation of eIF4 and p70S6K Signaling	2.15E00	8.15E-02	-0.816	AGO2,EIF2B1,EIF4A3,EIF4G2,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,MAPK1,PIK3CB,PPM1L,PPP2R2D,PPP2R5A,RAF1	
ABC-family proteins mediated transport	2.15E00	9.9E-02	1.265	ABCC3,ABCC4,DERL1,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2	
Hedgehog 'on' state	2.14E00	1.05E-01	1.667	ARRB1,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2,ULK3	
Molecular Mechanisms of Cancer	2.14E00	5.72E-02	-5.286	ARHGEF12,BMP6,BRAF,CCND3,CCR1,CDKN1A,CDKN2D,E2F1,EGF,F2R,F2RL3,FGF2,FYN,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GPR137,GSK3B,GUCY1A1,GUCY1B1,HDAC5,HIPK2,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,MAP3K5,MAPK1,MAX,OXTR,P2RY1,PDGFB,PIK3CB,PRKAR1B,PRKAR2B,PRKCA,PRKCB,PTGIR,RAF1,RHOBTB1,SMAD2,SRC,TAB2,TBXA2R,TGFB1	
NAD Signaling Pathway	2.13E00	8.61E-02	-2.309	BMP6,EGF,ERN1,ETFA,FGF2,GSK3B,PARP10,PDGFB,PIK3CB,POLR2E,PRKAB2,TGFB1,TPCN1	
COPI-mediated anterograde transport	2.12E00	9.8E-02	-1.897	ARF1,ARF3,DYNLL2,RAB1B,STX5,TUBA1C,TUBA4A,TUBA8,TUBB1,YKT6	
TBC/RABGAPs	2.12E00	1.36E-01	-1.633	RAB11B,RAB6B,RABGAP1,TBC1D17,TBC1D2,TBC1D25	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	2.11E00	6.91E-02	NaN	ATF4,CALM1 (includes others),CEBPG,FGF2,GNAO1,GNAQ,GSK3B,IKBKE,IKBKG,IL1RN,IRAK2,MAPK1,MAPKAPK2,NLK,PDGFA,PDGFB,PIK3CB,PRKCA,PRKCB,RAF1,SRC,TGFB1,TNFSF13B	
STAT3 Pathway	2.11E00	8.89E-02	-3.317	BMP6,CDKN1A,CISH,EGF,FGF2,IGF1R,MAPK1,PDGFB,PTPN6,RAF1,SRC,TGFB1	
Glutamate binding, activation of AMPA receptors and synaptic plasticity	2.09E00	1.56E-01	-2.236	AP2B1,AP2M1,DLG4,PRKCA,PRKCB	
Hepatic Cholestasis	2.08E00	7.62E-02	-1.698	ABCC3,CALM1 (includes others),GUCY1A1,GUCY1B1,IKBKE,IKBKG,IL1RN,IRAK2,MAP4K2,MAPK1,PRKAR1B,PRKAR2B,PRKCA,PRKCB,TGFB1,TNFSF10,TNFSF13B	
Role of PKR in Interferon Induction and Antiviral Response	2.08E00	8.82E-02	-0.905	E2F1,HSPA2,IFIH1,IKBKE,IKBKG,MAPK1,MAVS,PDGFA,PDGFB,PYCARD,STAT2,TAB2	
Sphingosine-1-phosphate Signaling	2.07E00	9.17E-02	-2.121	CASP2,GNA13,GNAQ,GUCY1A1,GUCY1B1,MAPK1,PDGFA,PDGFB,PIK3CB,RHOBTB1,SPHK1	
Breast Cancer Regulation by Stathmin1	2.06E00	6.06E-02	-3.087	ARHGEF12,ATF4,BMP6,CCND3,CCR1,E2F1,EGF,F2R,F2RL3,FGF2,GNA13,GNAQ,GNB5,GPR137,MAPK1,OXTR,P2RY1,PDGFB,PIK3CB,PPM1L,PPP1R14A,PPP2R5A,PRKAR1B,PRKAR2B,PRKCA,PRKCB,PTGIR,RAF1,SIVA1,TBXA2R,TGFB1,TUBA1C,TUBA4A,TUBA8,TUBB1,UHMK1	
Endoplasmic Reticulum Stress Pathway	2.06E00	1.9E-01	-1.000	ATF4,ERN1,MAP3K5,XBP1	
NGF processing	2.04E00	5E-01	NaN	FURIN,PCSK6	
D-glucuronate Degradation I	2.04E00	5E-01	NaN	AKR1A1,CRYL1	
Necroptosis Signaling Pathway	2.03E00	8.39E-02	-0.832	CAPN1,CAPN11,CAPN2,CAPNS1,IKBKG,MLKL,PLA2G12A,PPIF,PYCARD,STAT2,TAB2,TNFSF10,TSPO	
Netrin Signaling	2.02E00	8.09E-02	-3.207	ABLIM3,ARPC1B,FYN,ITPR1,ITPR2,MAPK1,NCK2,PIK3CB,PRKAR1B,PRKAR2B,PRKCA,PRKCB,STX1A,YKT6	
Neuroprotective Role of THOP1 in Alzheimer's Disease	2.02E00	9.02E-02	1.342	APP,CTSG,FURIN,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,PRKAR1B,PRKAR2B,TPP1	
Opioid Signalling	2.02E00	1E-01	-2.646	CALM1 (includes others),GNAQ,GNB5,ITPR1,ITPR2,MAPK1,PRKAR1B,PRKAR2B,PRKCA	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	2.01E00	8.33E-02	-1.134	IFIH1,IRF7,MAPK1,MAVS,OAS1,OAS2,OAS3,PIK3CB,PRKCA,PRKCB,TGFB1,TNFSF10,TNFSF13B	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	2.01E00	1.07E-01	-1.633	GNAQ,GNAS,GUCY1A1,GUCY1B1,ITPR1,ITPR2,PRKAR1B,PRKAR2B	
Regulation of the Epithelial Mesenchymal Transition by Growth Factors Pathway	1.99E00	7.81E-02	-1.604	BRAF,EGF,FGF2,GSK3B,IKBKE,IKBKG,MAPK1,PDGFA,PDGFB,PIK3CB,RAF1,SMAD2,TGFB1,TNFSF10,TNFSF13B	
RANK Signaling in Osteoclasts	1.99E00	9.89E-02	-2.333	CALM1 (includes others),IKBKE,IKBKG,MAP3K5,MAPK1,PIK3CB,RAF1,SRC,TAB2	
Apelin Adipocyte Signaling Pathway	1.99E00	9.89E-02	-0.378	GPX1,GUCY1A1,GUCY1B1,MAPK1,MGST1,PRDX6,PRKAB2,PRKAR1B,PRKAR2B	
Cargo recognition for clathrin-mediated endocytosis	1.98E00	9.35E-02	-1.897	AP2B1,AP2M1,ARRB1,EGF,EPS15,EPS15L1,LDLRAP1,NECAP2,REPS2,VAMP8	
GDNF Family Ligand-Receptor Interactions	1.97E00	1.05E-01	-2.236	DOK2,DOK6,ITPR1,ITPR2,MAPK1,PDLIM7,PIK3CB,RAF1	
Ovarian Cancer Signaling	1.97E00	8.23E-02	-3.000	ARRB1,BRAF,E2F1,EGF,GSK3B,HDAC5,MAPK1,PIK3CB,PRKAR1B,PRKAR2B,PTGS1,RAF1,SRC	
Epithelial Adherens Junction Signaling	1.97E00	8.23E-02	0.000	ARHGAP35,ARPC1B,DIAPH1,EGF,FYN,IGF1R,PPM1L,PPP2R2D,PPP2R5A,PRKAB2,SRC,VCL,YWHAH	
Degradation of beta-catenin by the destruction complex	1.96E00	9.78E-02	1.667	GSK3B,PPP2R5A,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2	
UFMylation Signaling Pathway	1.94E00	1.13E-01	-0.378	EIF4A3,EIF4G2,ERN1,GSK3B,H3-3A/H3-3B,PDK1,XBP1	
G alpha (z) signalling events	1.94E00	1.25E-01	-1.633	GNAS,GNAZ,GNB5,PRKCA,PRKCB,RGS19	
Actin Nucleation by ARP-WASP Complex	1.93E00	9.68E-02	NaN	ARPC1B,ITGA2B,ITGA6,ITGB1,ITGB3,ITGB5,NCK2,RHOBTB1,WIPF1	
Signaling by NODAL	1.92E00	1.74E-01	-2.000	FURIN,MAPK1,PCSK6,SMAD2	
Nephrin family interactions	1.92E00	1.74E-01	-2.000	ACTN1,FYN,NCK2,PIK3CB	
Apelin Cardiac Fibroblast Signaling Pathway	1.92E00	1.74E-01	1.000	PRKAB2,SERPINE1,SPHK1,TGFB1	
Transcriptional Regulation by MECP2	1.91E00	1.11E-01	0.447	AGO2,CALM1 (includes others),HIPK2,HTT,MECP2,MEF2C,SLC2A3	
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	1.89E00	1.22E-01	-2.236	FURIN,MAPK1,PPM1A,SERPINE1,SKI,SMAD2	
TR/RXR Activation	1.87E00	8.59E-02	-3.317	COL6A3,H3-3A/H3-3B,ITGB3,KLF9,MBP,NRGN,PFKP,PIK3CB,SRC,SREBF2,UCP2	
Pulmonary Healing Signaling Pathway	1.86E00	7.54E-02	-1.807	BRAF,EGF,ELANE,FYN,HCK,MAPK1,PECAM1,PRKAB2,PRKCA,PRKCB,RAF1,SRC,TGFB1,THBS1,YES1	
Signaling by NOTCH3	1.85E00	1.2E-01	-2.449	ADAM10,EGF,MAML3,MIB1,PBX1,PTCRA	
Melanoma Signaling	1.85E00	1.2E-01	-1.633	BRAF,CDKN1A,E2F1,MAPK1,PIK3CB,RAF1	
MYC Mediated Apoptosis Signaling	1.85E00	1.2E-01	-1.633	CASP2,IKBKE,IKBKG,MAX,PRKAR1B,PRKAR2B	
FAT10 Cancer Signaling Pathway	1.85E00	1.2E-01	-0.816	GSK3B,IKBKE,IKBKG,MAD2L2,SMAD2,TGFB1	
Sulfur amino acid metabolism	1.85E00	1.67E-01	-1.000	MPST,MTR,SQOR,TST	
Activin Inhibin Signaling Pathway	1.85E00	7.34E-02	-1.000	CDKN1A,COL10A1,EGLN3,GATA2,GSK3B,IKBKE,IKBKG,IL1RN,MAPK1,MAX,PIK3CB,SERPINE1,SKI,SMAD2,TGFB1,TNFSF13B	
Glycosaminoglycan metabolism	1.85E00	1E-01	-2.828	B4GALT1,B4GALT6,EXT2,NDST1,PAPSS2,SLC35D2,SLC9A1,ST3GAL6	
Death Receptor Signaling	1.84E00	9.38E-02	-0.333	ACTB,ACTG1,CASP2,IKBKE,IKBKG,LMNA,MAP3K5,PARP10,TNFSF10	
Hedgehog ligand biogenesis	1.84E00	1.08E-01	2.646	PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2	
Formation of xylulose-5-phosphate	1.83E00	4E-01	NaN	AKR1A1,CRYL1	
MyD88-independent TLR4 cascade	1.82E00	1.35E-01	-0.447	IKBKE,IKBKG,IRAK2,IRF7,TAB2	
UVC-Induced MAPK Signaling	1.81E00	1.18E-01	-2.449	BRAF,MAPK1,PRKCA,PRKCB,RAF1,SRC	
Gustation Pathway	1.81E00	7.43E-02	-3.606	CD36,GUCY1A1,GUCY1B1,ITPR1,ITPR2,LIPA,LIPH,ORAI1,ORAI2,P2RX1,P2RY1,PANX1,PRKAR1B,PRKAR2B,STIM1	
G-Protein Coupled Receptor Signaling	1.8E00	5.69E-02	-4.111	ARRB1,ATF4,BRAF,CALM1 (includes others),CCR1,F2R,F2RL3,FYN,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GPR137,GRK5,GSK3B,GUCY1A1,GUCY1B1,IKBKE,IKBKG,MAP3K5,MAPK1,MEF2C,MYL6,MYL9,MYLK,OXTR,P2RY1,PDE2A,PIK3CB,PRKAR1B,PRKAR2B,PRKCA,PRKCB,PTGIR,RAF1,RPS6KA1,SRC,TBXA2R	
Chronic Myeloid Leukemia Signaling	1.79E00	6.83E-02	-1.606	ALOX12,CALM1 (includes others),CCND3,CDKN1A,CRKL,E2F1,GSK3B,HCK,HDAC5,IKBKE,IKBKG,ITGB1,MAPK1,PIK3CB,PRKAB2,PTPN6,RAF1,TGFB1,TNFSF10	
JAK/STAT Signaling	1.79E00	9.76E-02	-1.414	CDKN1A,CISH,GNAQ,MAPK1,PIK3CB,PTPN6,RAF1,STAT2	
IL-33 Signaling Pathway	1.78E00	7.57E-02	-0.535	ATF4,CASP2,CTSG,ELANE,ICAM2,IKBKE,IKBKG,IL1RN,MAPK1,MAPKAPK2,PIK3CB,PRKAR1B,PRKAR2B,RPS6KA1	
Mitotic Roles of Polo-Like Kinase	1.77E00	1.04E-01	NaN	ANAPC5,CAPN1,PPM1L,PPP2R2D,PPP2R5A,TGFB1,WEE1	
Glycerophospholipid biosynthesis	1.76E00	9.09E-02	-2.333	ABHD4,AGPAT1,CDS2,GPAT4,MGLL,OSBPL5,PLA2G12A,PLD3,SLC44A2	
Atherosclerosis Signaling	1.76E00	8.27E-02	NaN	ALOX12,CD36,CLU,COL10A1,IL1RN,PDGFA,PDGFB,PLA2G12A,PRDX6,SELP,TGFB1	
MAP kinase activation	1.73E00	1.28E-01	-2.236	FBXW11,IKBKG,IRAK2,MAPKAPK2,TAB2	
Transcriptional regulation by RUNX1	1.73E00	7.89E-02	0.577	CLDN5,GATA2,HIPK2,PRKCB,PSMA7,PSMB10,PSMB6,PSMC2,PSMD7,PSMD9,PSME2,TAL1	
CREB Signaling in Neurons	1.72E00	5.77E-02	-4.426	ATF4,BMP6,CALM1 (includes others),CCR1,EGF,F2R,F2RL3,FGF2,GNA13,GNAO1,GNAQ,GNAS,GNAZ,GNB5,GPR137,GUCY1A1,GUCY1B1,IGF1R,ITPR1,ITPR2,MAPK1,OXTR,P2RY1,PDGFB,PIK3CB,POLR2E,PRKAR1B,PRKAR2B,PRKCA,PRKCB,PTGIR,RAF1,RPS6KA1,TBXA2R,TGFB1	
NOD1/2 Signaling Pathway	1.71E00	7.41E-02	-0.535	CARD9,ERN1,HSPA2,IKBKE,IKBKG,IRF7,MAPK1,MAPKAPK2,MAVS,PYCARD,TAB2,TGFB1,TNFSF10,TNFSF13B	
Neuropathic Pain Signaling in Dorsal Horn Neurons	1.71E00	8.91E-02	-3.000	ITPR1,ITPR2,MAPK1,PIK3CB,PRKAR1B,PRKAR2B,PRKCA,PRKCB,SRC	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	1.71E00	8.47E-02	-2.828	GNAQ,GNAS,GUCY1A1,GUCY1B1,ITPR1,ITPR2,PRKAR1B,PRKAR2B,PRKCA,PRKCB	
Agrin Interactions at Neuromuscular Junction	1.7E00	1.01E-01	-2.449	ACTB,ACTG1,CTTN,DAG1,ITGB1,MAPK1,SRC	
LPS-stimulated MAPK Signaling	1.7E00	9.41E-02	-1.890	IKBKE,IKBKG,MAP3K5,MAPK1,PIK3CB,PRKCA,PRKCB,RAF1	
Phototransduction Pathway	1.7E00	1.11E-01	NaN	GNB5,GUCY1A1,GUCY1B1,PRKAR1B,PRKAR2B,RGS9	
Response of EIF2AK1 (HRI) to heme deficiency	1.7E00	2E-01	NaN	ATF4,ATF5,CEBPG	
SNARE Signaling Pathway	1.69E00	8.09E-02	-2.111	CALM1 (includes others),GUCY1A1,GUCY1B1,MYH9,MYL6,MYL9,PRKAR1B,PRKAR2B,SNAP29,STX1A,YKT6	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	1.68E00	7.33E-02	-0.905	CLU,IKBKE,IKBKG,MAP3K5,MAPK1,MPO,PIK3CB,PPM1L,PPP1R14A,PPP2R5A,PRKCA,PRKCB,PTPN6,RHOBTB1	
The citric acid (TCA) cycle and respiratory electron transport	1.66E00	1.09E-01	-2.449	DLST,NNT,PDK1,PDK2,PDK3,SDHA	
HSP90 chaperone cycle for steroid hormone receptors in the presence of ligand	1.66E00	1.09E-01	-2.449	DYNLL2,HSPA2,TUBA1C,TUBA4A,TUBA8,TUBB1	
Interleukin-3, Interleukin-5 and GM-CSF signaling	1.66E00	1.09E-01	-0.816	CRKL,FYN,HCK,PIK3CB,PTPN6,YES1	
Sensory processing of sound by outer hair cells of the cochlea	1.66E00	1.09E-01	-1.633	ACTB,ACTG1,ESPN,MPP1,MYH9,MYO1C	
